TIPO DE VICTIMA,ANIO OCURRENCIA,DANE OCURRENCIA,DEPARTAMENTO OCURRENCIA,MUNICIPIO OCURRENCIA,HECHO VICTIMIZANTE,DISCAPACIDAD,GENERO,CICLO VITAL,PERTENENCIA ETNICA,TOTAL
V’ctimas de conflicto armado,2002,20032,CESAR,ASTREA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2013,73067,TOLIMA,ATACO,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2003,23068,CORDOBA,AYAPEL,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,2011,23068,CORDOBA,AYAPEL,Delitos contra la integridad sexual,Con discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2012,23068,CORDOBA,AYAPEL,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2010,23068,CORDOBA,AYAPEL,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2014,23068,CORDOBA,AYAPEL,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2014,27075,CHOCO,BAHIA SOLANO,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2014,27075,CHOCO,BAHIA SOLANO,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2005,52079,NARI„O,BARBACOAS,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2011,52079,NARI„O,BARBACOAS,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,2014,52079,NARI„O,BARBACOAS,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
